Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2018,31,0-4 yr,0,0,0,1,0,0,0,0,0
2018,32,0-4 yr,0,0,0,0,2,0,0,0,0
2018,33,0-4 yr,0,0,0,0,0,0,0,0,0
2018,34,0-4 yr,0,0,1,2,0,0,0,0,0
2018,35,0-4 yr,0,0,0,3,0,0,0,0,0
2018,36,0-4 yr,0,0,0,2,0,0,0,1,0
2018,37,0-4 yr,0,0,1,6,0,0,0,0,0
2018,38,0-4 yr,0,0,3,0,0,0,0,0,0
2018,39,0-4 yr,0,0,0,1,0,0,0,0,0
2017,40,5-24 yr,0,0,21,3,1,0,3,0,0
2017,41,5-24 yr,0,0,22,3,2,1,0,0,0
2017,42,5-24 yr,0,0,40,4,0,0,2,0,0
2017,43,5-24 yr,0,0,34,12,6,0,6,3,0
2017,44,5-24 yr,0,0,63,10,2,2,10,7,0
2017,45,5-24 yr,0,0,85,6,0,1,8,5,0
2017,46,5-24 yr,0,0,94,27,1,3,24,11,0
2017,47,5-24 yr,0,0,97,8,0,1,20,2,0
2017,48,5-24 yr,0,0,163,13,0,6,24,3,1
2017,49,5-24 yr,0,0,276,19,0,9,34,12,0
2017,50,5-24 yr,0,0,353,45,2,20,66,18,0
2017,51,5-24 yr,0,0,448,46,2,23,70,10,0
2017,52,5-24 yr,0,0,328,56,3,11,65,15,0
2018,1,5-24 yr,0,0,319,42,0,14,54,10,0
2018,2,5-24 yr,0,0,477,76,5,18,120,34,0
2018,3,5-24 yr,0,0,477,82,3,20,108,47,0
2018,4,5-24 yr,0,0,578,150,5,27,214,67,0
2018,5,5-24 yr,0,0,586,168,7,42,267,139,0
2018,6,5-24 yr,0,0,472,159,1,50,307,127,0
2018,7,5-24 yr,0,0,366,122,0,64,283,88,0
2018,8,5-24 yr,0,0,221,53,3,54,221,73,0
2018,9,5-24 yr,0,0,108,57,0,53,144,63,0
2018,10,5-24 yr,0,0,70,32,3,47,127,45,0
2018,11,5-24 yr,0,0,52,43,6,33,98,39,0
2018,12,5-24 yr,0,0,53,23,0,27,103,27,0
