pandemic,bxm_p_averted_l,bxm_p_averted_r,bxm_n_averted_l,bxm_n_averted_r,osl_p_averted_l,osl_p_averted_r,osl_n_averted_l,osl_n_averted_r
pandemic_1918,18.796108612495264,60.03189046093804,1158.1624922884841,3698.993515434858,7.920604213952149,39.848436033427674,488.04499409857846,2455.3467391432623
pandemic_1968,9.809785225849946,69.50929403833189,60.44849866104543,428.32053616569044,0.0,45.301454300298566,0.0,279.1503418850585
pandemic_2009,3.9755807027992853,100.0,0.7922904689263722,19.92892430453002,0.0,60.69088743299583,0.0,12.095041016269263
covid,24.480118591635563,48.72766975425079,1636.700000759946,3257.850930144708,13.856935524674784,32.826138093568446,926.4516549979046,2194.700979146686
