income_group,treatment_group,pandemic,median_f_bxm,25_f_bxm,75_f_bxm,median_n_bxm_per_pax,25_n_bxm_per_pax,75_n_bxm_per_pax,median_n_osl_per_pax,25_n_osl_per_pax,75_n_osl_per_pax
LIC,BXM05-24,1918 A/H1N1,64.06165468043119,58.39504288868264,67.7386120371918,18.26074192627464,15.618684567349753,55.236177282854115,13.749826462800652,10.291120052381666,28.53323809331016
LIC,BXM05-24,1968 A/H3N2,61.64135036603102,55.85694093685867,66.02153042553516,27.7450431076332,14.461053584631772,56.949594925848636,16.01668860839997,11.319537823238058,28.161221685327813
LIC,BXM05-24,2009 A/H1N1,68.8430448042771,64.51726902843549,71.725404409461,21.465520365429278,11.13119838198446,43.19992543556852,11.171626910052987,4.410465295865139,22.71517253917764
LIC,BXM05-24,COVID-19,67.20883817851009,53.35670307235281,93.70492147033859,14.912589141719806,0.2755615982540126,52.88569497003029,14.54962406756527,0.014002798761418038,25.832335768465942
LIC,BXM25-64,1918 A/H1N1,33.83456014959149,30.48202425703356,37.79813333238194,12.756932810397767,9.676068032650715,27.228476907864614,19.788569623762076,17.090895171584457,57.40493221988905
LIC,BXM25-64,1968 A/H3N2,35.43379186586954,32.62152478851902,40.1782708224939,15.016220613008002,10.59923670787583,27.173072682068078,28.672492788740296,15.993547977285166,58.869376748191236
LIC,BXM25-64,2009 A/H1N1,29.875332901233385,27.241986772056325,33.680880880962086,10.872149352300706,4.541993349953099,21.654608950835204,22.190363914380047,12.142860009504748,43.95945182090033
LIC,BXM25-64,COVID-19,30.87447820981949,5.778713467601639,42.791037895639164,13.537321669832933,0.013317949379283746,24.595109171308547,16.552154632481148,0.2883607049323534,55.65865250254025
LIC,BXM65-99,1918 A/H1N1,2.5203396798884534,2.0046347037233394,2.977656939705535,1.0111105895546626,0.6985946530348114,1.778961664639905,31.606296797646742,27.25073399441972,84.62239671498604
LIC,BXM65-99,1968 A/H3N2,2.505882126499513,2.0185149151225303,3.071376750494423,1.053659901717667,0.8357208905664598,1.7757549255316352,43.03376667194422,26.722494799976488,84.79106024922733
LIC,BXM65-99,2009 A/H1N1,0.9856198972286466,0.6729559501810022,1.8412343847823616,0.46034324984078256,0.11543919307248533,1.1933391315832313,33.9273466182201,17.057003442347344,66.05132831181906
LIC,BXM65-99,COVID-19,2.1403439339120687,0.5025230673696056,3.426233542297553,1.0773777375167535,0.0008554124203694894,1.7298396346183222,29.534636053127766,0.3012997110208001,79.98398365134459
LMIC,BXM05-24,1918 A/H1N1,56.05893019706056,51.35847226777379,60.84684504876229,16.698526825620487,12.259032070044976,44.924990017046284,15.57335862256216,11.566084141037853,31.819813155752563
LMIC,BXM05-24,1968 A/H3N2,55.42778207514164,51.27346541142514,59.44394932149484,16.616926823486743,12.716524332196084,44.329871696345755,15.646183281334583,12.092126970584493,30.61757907533107
LMIC,BXM05-24,2009 A/H1N1,66.64798027744061,60.78544329239115,72.67412278739974,13.234337880538739,8.464479226968624,28.38109180812246,5.760154863254622,3.2323637948369086,18.52856219893765
LMIC,BXM05-24,COVID-19,59.80219532683419,48.26438789190467,81.50798631386367,14.042213120827268,0.13756753084188314,45.057384867380584,17.187990152994686,0.018684499230705205,29.803633247894656
LMIC,BXM25-64,1918 A/H1N1,40.4920193432416,36.3977794129275,44.82589002257382,14.221856808748267,10.742323626389458,30.03500587412182,18.326808307087937,13.625546227205174,47.07821488674666
LMIC,BXM25-64,1968 A/H3N2,41.15764510427763,37.99228635092671,44.3894575398241,14.185952857649358,11.225187661503963,29.04425608843127,17.898360532003448,14.1210316902106,46.35643118519802
LMIC,BXM25-64,2009 A/H1N1,31.89890489909038,26.351651325472762,37.28630011766262,6.885806566341731,3.4275752396242947,18.50351608929853,13.415568119980403,9.29657103192983,30.716225653759604
LMIC,BXM25-64,COVID-19,37.26457739222676,15.732087227414329,46.51917431350179,15.748310382713115,0.015716542225745755,28.120118209435564,16.11193524887213,0.1464197367146899,48.420092494473515
LMIC,BXM65-99,1918 A/H1N1,3.313521976579577,2.596260600728782,3.9720391101208605,1.2502457064231087,0.8829885884625155,2.2362616891104015,31.25844159166178,24.64551426354735,77.75937402648371
LMIC,BXM65-99,1968 A/H3N2,3.3507273553417343,2.581573977112281,3.862471891188436,1.2782171322700755,0.9585294616062116,2.1773776232050244,29.561418626965203,25.974896471387044,76.01892286181734
LMIC,BXM65-99,2009 A/H1N1,0.8848474966313469,0.6502690179278732,2.218678054881106,0.32114653580544805,0.08196609705453929,1.146358025000125,20.36444209631412,12.837280941259838,49.545696200836105
LMIC,BXM65-99,COVID-19,3.444133026732988,2.1742149993497097,4.7890906677597025,1.4452632470383489,0.0035873880737837005,2.38861424970466,31.5545503787543,0.16166275014409082,77.12163651358941
UMIC,BXM05-24,1918 A/H1N1,45.84607885823817,40.33328026462805,50.42230988432983,13.19798142882484,8.518597844808722,29.97029196635873,16.791843773761027,11.209467034567565,31.792872921852144
UMIC,BXM05-24,1968 A/H3N2,46.50904559336632,42.09170117796166,50.99311882620518,13.280252824457234,9.750388347686552,30.238117409788135,16.28209291608761,13.323993472243718,30.218903001974972
UMIC,BXM05-24,2009 A/H1N1,63.97466662406994,59.55377388191256,74.04926363074227,8.128363163266114,5.631293234295751,15.229034833546311,4.041763723313075,1.9909463137375836,10.881306135878141
UMIC,BXM05-24,COVID-19,46.98188912687177,36.69617689230055,61.34046886177336,11.41953558720342,0.05784882225860382,33.54389133379645,22.248715537221187,0.028723967535379716,35.96704473322549
UMIC,BXM25-64,1918 A/H1N1,49.09018631687888,45.3874222829956,53.46884005566794,14.823638674486835,10.069211129309585,28.738474945841112,14.768459096404987,9.6888515541209,31.8967707385521
UMIC,BXM25-64,1968 A/H3N2,48.425444530305064,44.97755116543449,52.1579011791241,14.170876170936658,11.725254606401462,27.15527009501556,14.543168839036044,10.958315367457573,31.86625853347178
UMIC,BXM25-64,2009 A/H1N1,34.47150539921395,25.2178489381563,38.38724655656317,4.022176765396283,2.1541137115064517,11.079047295416574,8.668476937531253,6.365330300006167,16.947263367674243
UMIC,BXM25-64,COVID-19,45.87596732870977,25.31645569620253,54.71541217067267,19.482783850873677,0.02002711325814587,32.4950641117099,14.540894515188215,0.06732887768518558,38.663125908674736
UMIC,BXM65-99,1918 A/H1N1,4.776744007516588,3.931942642060305,5.689836353080296,1.5882825787445383,1.1010144854806676,2.7199153281694213,29.23910071375495,19.51092397174804,60.84848559663356
UMIC,BXM65-99,1968 A/H3N2,4.473153513213638,3.73043661670953,5.2475056647036835,1.4624502457973365,1.1606858000696796,2.5258178505483757,28.143076647570766,23.31121174302923,59.483677798760645
UMIC,BXM65-99,2009 A/H1N1,1.1757260338855329,0.5562675537861642,2.219261877660117,0.16237846400171643,0.04641481014805907,0.7039629628157833,12.94774167528166,8.88775502815389,28.667941275885354
UMIC,BXM65-99,COVID-19,6.53316301395895,4.225090108164107,8.843089560657083,2.5101045726678652,0.00857759805956838,3.974124451129171,32.01532145169286,0.07915954622009232,68.25504888764704
HIC,BXM05-24,1918 A/H1N1,37.69918626105372,31.87103601991875,41.300265422731606,9.343832244406666,6.118750750406912,18.156939581823703,17.321760718492918,12.0937477025042,26.130272549057302
HIC,BXM05-24,1968 A/H3N2,39.497081739239405,34.59062679000077,43.07982792536903,10.02019902426727,7.250543485473118,17.367475598298906,16.32980859425294,12.933222266384675,24.021245517544784
HIC,BXM05-24,2009 A/H1N1,66.5360703666535,61.17358941380806,77.53656483914784,4.992647939451694,3.626527256060135,6.80997199214369,2.4320140136170143,1.0892039455737357,4.215986353503418
HIC,BXM05-24,COVID-19,33.801903406150934,25.560957808557195,40.72700861063441,8.480937424434495,0.03284897653780947,21.18467167700996,25.033491801950113,0.07215562314148269,35.16619489798202
HIC,BXM25-64,1918 A/H1N1,55.634834191975116,52.24269175083889,59.307375261772385,14.631228804683033,10.257387278730961,22.40879344436894,10.930044828376328,7.416935350608951,20.21767722679668
HIC,BXM25-64,1968 A/H3N2,53.92093818630757,51.0574095058739,57.16404778074815,13.945463353244758,10.99349172502317,20.532535700620834,11.219332176099941,8.446743118220631,19.017511174700115
HIC,BXM25-64,2009 A/H1N1,32.37264444543217,21.83980661227483,37.06635951295908,2.5481161336622042,1.2086906646213893,4.184174499719742,5.544852255091784,4.025701631721689,7.355015299652043
HIC,BXM25-64,COVID-19,51.12710499489492,33.33333333333333,58.81578338133294,19.91846474080804,0.031985771240761136,29.16832668025925,13.191583543832408,0.06990479843067353,27.085052126543186
HIC,BXM65-99,1918 A/H1N1,6.629742564794888,5.2795809702596195,8.153291669315832,1.7520426248556744,1.1888876587986945,2.683665712686627,25.237188076276507,17.06064829983542,41.53347432598839
HIC,BXM65-99,1968 A/H3N2,5.866214619003722,4.722864754619271,6.67883928118447,1.5241211232770728,1.1472028484754002,2.3528844103267588,25.207368233178308,19.82133415234628,39.45279045193653
HIC,BXM65-99,2009 A/H1N1,0.5257359491233204,0.3390635049421279,1.544361082440224,0.04233210510542955,0.017861346055658582,0.18876368382532135,8.474287187541593,5.50309727967208,11.883992199912049
HIC,BXM65-99,COVID-19,12.300004459108472,8.274899510978953,17.356279751006955,3.6915384682308803,0.03400767697345106,5.684458479644204,29.32927642171599,0.06613321993421889,49.53515370438527
