vl_to_inf_model,baloxavir_transmission_effect,p0,p1,p2
logit,0.29,685.0224070237842,3.5742101954678223,0.1304283552843014
hill,0.29,5.688402622511931,1.0,
negexp,0.29,3.384742434850379,,
hill,0.12,0.4860016579039284,1.0008920748738008,
hill,0.45,2.8834177539200634,6.3368681824822755,
