time,mean,sd
0.713375796,6.366773532,1.538050734
1.594176524,1.347922799,0.993334151
2.482256597,1.220937592,1.046738691
3.377616015,1.798902024,1.719626168
4.272975432,2.344823732,1.185571056
5.161055505,2.64507484,1.708935542
7.825295723,0.90764392,0.726292017
